ROW_INDEX,ORIGINAL_VALUE,NEW_VALUE,FULL_ENTRY
104,"I. stretch, peg, out","take up, unpeg anything pegged down","amba!, v.t. (1), I. stretch, peg, out; ~ hema, pitch tent; ~ mũti igũrũ, crucify; ~ nyambo, plant sharpened stakes for defence, or in a game pit; ~ mathagu, (of birds) spread wings when at rest. 2. cast on stitches (in knitting, weaving). famba, refi. ambaamba, dim. ambanga, diff. ambana, rec. (formerly, with ref. to ituika ceremony) peg anti-social persons to ground covering them with heaps of dry grass and rubbish prior to burning them to death. ambanira, app. rec. ambanĩria, assoc. ambithia, d. caus, help to stretch, peg out. ambika, st. pot. ambira, app. ambũra, conv. 1. take up, unpeg anything pegged down; ~ kick a football high in the air. 2. undo (knitting, wearing apparel, &c.). ambũrũka, neut. conv. move in a stream at a fast pace; stream out, along. ambũrũrũka, neut. inten. spring up as in anger or threateningly, break out into angry resentful speech; be stirred up. ambũka, neut. get unpegged; become undone. ambarara, stc. inten. 1. stretch oneself up, stand on tiptoe; sit up, be erect. 2. be tilted up, be raised at one end or side; cf. hang’arara, andatara. 3. (of snakes, &c.) rear up, bridle up. 4. fare up, take offence. ambararia, caus. inten. I. raise up, elevate; ~ moko!, hands up! 2. cause to take offence. rambararia, refl. caus. inten. 1. draw oneself up, assume erect attitude, rear up, take offence. ambarũrũka, inten.; see ambata, ten. go up, come up, climb up; ~ ngoro, feel a rising of emotion, indignation; cf. thang’ata, haica. ambaambata, dim. ten. go or come up a little farther, rise a little, go on upwards, ambatia, caus, ten, take, bring, upwards, cause to rise, raise, hoist. ambatira, app. ten. go up at, along or through; go or come up higher, move upwards, raise in station, be promoted; ~ gacĩra gaka, go up along this path. ambatiria, caus. app. ten. ambatirira, inten, ten. ascend, climb up by, upon, or into; climb right up to the top. ambatirĩria, caus. inten. ten."
105,"1. be the first, start, begin","be the first, start, begin","amba?, v.t. & i. (1), 1. be the first, start, begin; no nii nyambire ho, I was the first on the spot. Ndĩ~ga na magua, (the bee) does not begin with honeycombs. Thugo nĩcio ci~ga ceremonial gifts form the preliminary to marriage arrangements, 2. (freq. as aux. v. foll. by inf. or subj.) (do) first; wambire gũtema?, who made the first cut?; ~ first go. ambaamba, dim. 1. appear as if about to begin sth.; fidget, be impatient; (of birds) raise wings up and CESEN a am S I 3 SU down without leaving the ground; cf. amba mathagu. 2. heave, rise and fall (as in breathing). ambaambia, caus. dim. ; nĩ kĩ kĩrakw~?, what is worrying you? ambana, diff. ambana, rec, (esp. of quarrel, fight) start to do sth. to others, each other; start a row, go at each other. ambanirira, app. rec. begin to do sth. to others. ambanirĩria, assoc. begin together; begin on, start with. ambia, caus. be the first to do sth., begin (with) ~ drio, be the first to taste food. ambio, pass. Ka mwene nĩko kaambagio ira, it is his own child that the householder should decorate first with white chalk (at initiation). Mwarĩ wa magego ndaambagio mũcũ, a girl from a home where meat is eaten often should not be taken as a first wife. ambĩka, st. pot. used inten., start, initiate, a piece of work; make a beginning (on a piece of weaving). ambĩkwo, pass. st. pot.; kĩnngano gĩkĩ~ na mahoya, the meeting was opened with prayer. ambikira, app. st. pot. begin to do sth., at, for, in. ambira, app. start to do sth., for, at; initiate (a piece of knitting, weaving, &c.) for. ambirĩra, inten. begin a succession of acts, begin to do sth. first; begin with, on, at; ngw~ mũti ũyũ, I am going to begin with this tree (with others to come); nĩwe waambĩrĩre kũrĩma kagongo gaka?, were you the first to cultivate this bit of ridge? ambirĩria, caus. inten. begin, start off; start up (a car, &c.)."
106,"one of the four main rafters of a traditional round hut, erected to support the double ring of sticks at its top into which the upper ends of the closely set rafters are thrust","minute spines, prickles, stings on sugar-cane leaves, nettles, caterpillars, which irritate the skin","nwamba!, mĩ-, n. (1), one of the four main rafters of a traditional round hut, erected to support the double ring of sticks at its top into which the upper ends of the closely set rafters are thrust; cf. (N.K.) motheco, nwamba?, mi-, n. (1), (coll.) a tough guy; cf. mici. ũamba, marũamba, n. (vii), 1. minute spines, prickles, stings on sugar-cane leaves, nettles, caterpillars, which irritate the skin. 2. a plant (Hibiscus diversifolius), wild cotton (rough with small prickles; produces natural rope). kĩrũamba, i-, n. I1. aug. of 1. above. 2. flower of 2. above. see mũimbaigũrũ."
107,1. interior of roof,interior of roof,"maambarita, n. cl. 6 only, (1), 1. interior of roof; cf. mĩtirĩro. 2. space between wicker-work of grain store and its thatched roof."
108,"upward slope, rise in the ground.","upward slope, rise in the ground","mwambatiriro, mi-, n. (1), upward slope, rise in the ground. [amba']"
110,"the first man to settle in an area. rĩambi, ma-, n. the thin layer of unused cells outside an actual honeycomb. kĩambi, ci-, n. first (of a number of things, of a batch, series, &c.)",the first man to settle in an area,"mwambi, a-, n. (1), the first man to settle in an area. rĩambi, ma-, n. the thin layer of unused cells outside an actual honeycomb. kĩambi, ci-, n. first (of a number of things, of a batch, series, &c.); cf. kĩambĩko; see nyakiambi. [amba?]"
111,one who begins (e.g.,one who begins (e,"mwambia, a-, n. (11), one who begins (e.g. in the spear-throwing game). ~ nacio tiwe mOrigia nacio, the one who begins things is not the one who ends up with them. [amba?]"
112,"place, time, of commencement.","place, time, of commencement","riambĩko, ma-, n. (1), place, time, of commencement. kiambiko, ci-, n. point of commencement (of a piece of work, construction of article, weaving of string-bag, &c.). [amba?]"
115,1. commencement,commencement,"kĩambiro, ci-, n. (1), 1. commencement; beginning of a matter, case, project. 2. dealing with, doing of, a piece of work. [amba?]"
116,"1. a peg-stretched hide. 2. vertebra with meat attached, esp. one of the bones of the neck",a peg-stretched hide,"kiambo, ci-, n. (1), 1. a peg-stretched hide. 2. vertebra with meat attached, esp. one of the bones of the neck; ~ kĩa section of vertebrae given to the elder to whom this part of the animal was allocated at a meat feast; ~ kĩa mũthaci, section of vertebrae given to the man who cuts up the vertebral column; ~ lines in order ready for the dance; hũra ~, prepare lines ready for the dance. [amba""]"
