ROW_INDEX,ORIGINAL_VALUE,NEW_VALUE,FULL_ENTRY
117,1.,"sharpened stick, tent peg, peg used in spreading out hides and skins to dry","rũambo, nyambo | maambo, n. (1), 1. sharpened stick, tent peg, peg used in spreading out hides and skins to dry. ~ ndarnũa, one peg cannot peg out an ox-hide. 2. hole in a hide in which a peg is put. Maitho ma arũme ti maambo, men’s eyes are not empty peg holes. [amba]"
118,1. ceremonial accompanying certain ‘rites de passage’,ceremonial accompanying certain ‘rites de passage’,"maambura, n. cl, 6 (1), 1. ceremonial accompanying certain ‘rites de passage’; sacred rituals (including coition between the father and the mother of the homestead concerned) connected with the normal events of family life, birth, second birth, puberty, initiation, circumcision, marriage, performed under the direction of senior elders or old women, supplemented at circumcision rites by the mnd mũgo wa ~; ruta ~, perform the rituals. Gĩkũ ti ~, death is not a happy family occasion (since the bereaved may not mix with others until after the completion of the death-cleansing rites). See igongona. 2. (N.K.) dance of young men and women, boys and girls, on the day before a circumcision; cf. matuumo. 3. menstrual period (during which none of above rites could be performed); ona ~, menstruate; oera mwana ~, (of parents) perform ceremony for a girl at her first menstruation; cf. mĩruru, mweri, ĩnenũra, ratha.,"
121,"cry out (as in pain, fear, despair)","make bleat, low","ana, v.i. (1), cry out (as in pain, fear, despair); roar, scream, moan, yell; ũkũ~ wanel, you'll yell (for help) in vain! anaana, dim. ananga, diff. ananira, app. rec. ananiria, caus. app. rec. (of animals) low, bleat, for each other. ania!, caus. (used inten.) cry out; (of animals) low, bleat, cry. anithia, d. caus. 1. make bleat, low; make cry out. 2. give sharp thrashing. 3. sound, blow, ring (bugle, horn, bell); ~ mũcarica, crack a whip; ~ mbu, sound the alarm (by yelling). anika, st. pot. anĩra, app. cry out, roar, yell, at, because of. aniria, caus. app. (of animals) bleat, low, cry for, at; long for. anirira, inten. shout, cry out, cry out with a long and sustained call (as to sb. at a distance); announce, proclaim; ~ kĩhikanio, put up the banns. anũra, conv. 1. make cry out, yell, loudly. 2. give a very sharp thrashing; strike (esp. with a whip). 3. crack (whip) loudly. 4. (of animals) howl, bellow, bleat incessantly. 5. make (bugles, horns, &c.) blare. anũka, neut. 1. go on screaming, yelling. 2. howl; blare."
123,1. larva of bee in honeycomb. 2. part of comb containing larvae,larva of bee in honeycomb,"(rĩ-) maana, n. (111), 1. larva of bee in honeycomb. 2. part of comb containing larvae; see mwana."
124,"1. child, baby, young human being","progeny of human beings, young ones, descendants","mwana', ci-, n. cl, 1/8 (11), 1. child, baby, young human being; young girl, girl of any age; ~ wa Ngai, child of God, child born with one limb missing; cf. kĩũgn; ka kũragitwo ~ wa Ngai?, (said when rain has gone on all day without sign of stopping) can it be that someone has killed Godd’s child?; ~ wa ira, child of yesterday, lacking in experience; ~ no ta ũrĩa ũngĩ, one child is just as (dear as) another; ~ aakuire nyina agĩkima, (said when asking for a taste) a child died while his mother was mashing food; see maũnduri. 2. (cl. 8) progeny of human beings, young ones, descendants; ciana cia (Gĩkũyũ na) Mũmbi, (children of G. and M.) the Kikuyu tribe. krana?, ci-, n. (mainly of animals) young; see ciana above. kĩmwana, i-, n. young fellow, recently initiated youth (not a full member of the young warrior group); (coll. among young men) mate, buddy. kaana, tw-, n. (a term of endearment) lass, lad, young one, small child; ~ ka rnyondo (rũkenge), baby. kamwana, tũ-, see kĩmwana above. wana, n. cl. I4, childhood; rĩa ~, see under ria."
125,"x1. appear youthful, renew one’s youth, become rejuvenated","appear youthful, renew one’s youth, become rejuvenated","anakaha, v.i. (11), x1. appear youthful, renew one’s youth, become rejuvenated; (of a patched garment) be renovated; (of an coat) be renewed. 2. adorn oneself with war or fighting gear; cf. anaanakaha, dim. anakahanga, diff. anakahania, caus. rec. make each other, others, appear youthful; adorn others. anakahanira, assoc, 1. become youthful together. 2. put on fighting gear to use against each other. anakahia, caus. make youthful, adorn; rejuvenate; renew, renovate. ranakahia, refl. caus. restore oneself to a youthful appearance, adorn oneself. anakahika, st. pot. anakahira, app. become youthful in appearance, at, for; adorn oneself with fighting gear because of."
127,,"youthful, lively, vigorous","-anake, a. (11) youthful, lively, vigorous; cf. -ithi. [see anakaha]"
128,,REFERENCE,"kianana [kĩanaana], ci-, young, immature person; halfling. [ana]"
130,"spoiling, destruction. [ananga]. nwanangiko, mĩ-, n. (111), spoiling, ruining, destruction, defacement, disfigurement. [ananga] nwananirio, mi-, n. (1), (of many beasts) bleating, lowing. [ana] nwani, n. (111), 1. term of affection used by women",term of affection used by women,"vanangi, n. cl. 14 (11), spoiling, destruction. [ananga]. nwanangiko, mĩ-, n. (111), spoiling, ruining, destruction, defacement, disfigurement. [ananga] nwananirio, mi-, n. (1), (of many beasts) bleating, lowing. [ana] nwani, n. (111), 1. term of affection used by women ; mwari wa ~, my dear. 2. greeting between women one of whom has a son married to the other’s daughter. 3. wa-~, nickname for hyena. nia?, v.t, (1), hold out, prepare (sth.) in readiness to receive; ~ moko, hold out your hands; ~ kanua, open your mouth (for sth. to be put in); cf. ara!. ananiria, caus. app. rec. hold out (hands, &c.) together. anithia, d. caus. anirĩria, inten. hold out sth. to catch sth, falling; ~ maĩ mũberethiinĩ na gĩkombe, put a cup under the tap to receive water."
132,shrub (Giant St.,shrub (Giant St,"mwania-thenge!, nĩ-; kaaniathenge, tw-; n. (1-1), shrub (Giant St. John’s Wort) (Hypericum roeperianum) (wood light, used for carving goat-bells)."
136,"hang, place, a beehive on a tree.","hang, place, a beehive on a tree","anĩka?, v.t. (1), hang, place, a beehive on a tree."
137,that which spreads in the sun.,that which spreads in the sun,"-anĩki, a, (111), that which spreads in the sun. [anĩka!]"
139,place where clothes can be spread to dry.,place where clothes can be spread to dry,"wanĩko!, mawanĩko, n. (111), place where clothes can be spread to dry. [anika!]"
140,place where beehive is (or can be) hung or placed.,place where beehive is (or can be) hung or placed,"waniko?, mawaniko, n. (x1), place where beehive is (or can be) hung or placed. [anika?]"
141,1. shaft of arrow,shaft of arrow,"kiano, ci-, n. (1), 1. shaft of arrow; cf. mũgui, rcthuthi. 2. ikia na ~, (of a special ceremony involving the shooting of an arrow without a head into the bush) disown, outlaw; cf. ikta na kĩbnikũ."
143,"mi-, n.","(of a beer-addict, &c","mwano? | (mwana?), mi-, n. (1), (of a beer-addict, &c.) craving. [ana]"
146,"flatten out, curve in or out (by beating or pressure)","beat, pound lightly","anda, v.t. (11), flatten out, curve in or out (by beating or pressure); pat (small chapatties) in the hand, compress ; cause to feel heavy or oppressed ; ~ na nda ya belabour sb. with the flat of a sword; ~ kĩmere, rub down coarse mash in making gruel. andwo, pass.; ~ nĩ irio, be oppressed by a surfeit of food; ~ nĩ mai, be oppressed by a desire to defecate. tanda, refl. fill oneself out with food; see itatha. andaanda, dim. 1. beat, pound lightly. 2. (of a child, weak person, &c.) speak brokenly, with difficulty. andaandũra, conv. dim. make a little bigger. andaandũka, neut. dim. be a little older. andanga, diff. andana, rec., andanira, app. rec. andaniria, caus. app. rec. andithia, d. caus. have flattened out; cause to be oppressed, help to belabour with the flat of a sword. iandithia, refl. be choked by food; be belaboured (by a sword, &c.) through one’s own fault; pretend to be oppressed. andika!, st. pot. andira, app. andũra, conv. enlarge, expand, make bigger. andũka, neut. be, become enlarged, expanded, or bigger in size; (of field, river, skin pegged to dry) widen out; (of tree, &c.) grow upwards, outwards; (of sth. beaten out) expand, be expanded. andarara, stc. inten. I1. be curved, drooping (in the middle); (of a warped beam, suspended rope) be bent down, in; kand haandaraire, curve, convex slope. andararia, caus. stc. inten. andatũra, conv. ten. broaden, develop, improve; ~ mĩtũrire ya andũ, improve the social conditions of the people. andaandatũra, dim. conv. ten. andatara, stc. ten. 1. stand, sit, upright bracing one’s back; hollow the small of the back. 2. (of trees) be arched, bent in the middle; (of bridge, roof) be bowshaped, sag; cf. hocerera."
147,1. valley,valley,"kĩanda, ci-, n. (1v), 1. valley; cf. ngurumo, gĩtuamba. 2. downward side of slope. mwanda, mi-, n. 1. hollow, depression; cf. kĩande, 2. fold in a hillside, shallow valley without permanent water; cf. irengeta. kaanda, tw-, n. dim. kamwanda, n. hollow in the back, waist. [anda]"
148,(N.K.) tree (Lachnopylis congesta),() tree (Lachnopylis congesta),"mwanda?, mi-, n. (1v), (N.K.) tree (Lachnopylis congesta); cf. mũcorui."
149,"canvas groundsheet, tarpaulin, awning.","canvas groundsheet, tarpaulin, awning","kiandarũwa [kĩandarũwa], ci-, n. (x11), canvas groundsheet, tarpaulin, awning. [Sw. CHANDALUA]"
150,1. enclosure for sheep and cattle,enclosure for sheep and cattle,"mwandata, mi-, n. (1v), 1. enclosure for sheep and cattle; entrance to such an enclosure. 2. cowshed of European type. [cf. Ma. E-MUATATA]"
151,"1. shoulder, shoulder-joint. 2. ga ~, (N.K.) leaf-bladed spear",flatness,"kĩande, ci-, n. (u1), 1. shoulder, shoulder-joint. 2. ga ~, (N.K.) leaf-bladed spear ; cf. mberethi, kageci, kembo. wande, n. cl. 14 only, 1. flatness; cf. kĩmanda. 2. deep-seated swelling causing suppuration. [anda]"
152,address.,address,"anderethi [aanderethi / aandereethi], ~, n. (XVII/XIV), address. [E.]"
154,"writer, editor, secretary, copyist",writing,"mwandĩki, a-, n. (x1), writer, editor, secretary, copyist; (Bibl.) scribe. wandĩki, n. cl. 14, writing. [andika]"
156,written record(s}.,written record(s},"maandiko, n. cl. 6 only (x1), written record(s}. [Sw. MAANDIKO]"
157,writing.,writing,"mwandiko, mi-, n. (x1), writing. [Sw. MwannDIkoO]"
160,,"be restless, shift about, keep changing one’s position, move restlessly about","anga!, v.i. (1) 1. be restless, shift about, keep changing one’s position, move restlessly about; (of a person trying to avoid notice) dodge about. 2. (of a woman in childbirth) be in travail, 3. go from place to place exhibiting trophies from enemy killed in war; qualify as a warrior by blooding one’s spear on an enemy. 4. experiment, practice; tiga kw~ na ni!, don’t take liberties with me. angaanga, dim. anganga, diff. 1. move restlessly about. 2. (of animal) be in labour. angangika, st. pot. be unsettled by some specific cause, be at sixes and sevens; cf. angaĩka. anganĩra, app. rec. angia, caus. 1. carry round in triumph. 2. make restless. angithia, d. caus. make restless; ~ thĩ, keep boys singing and dancing the night before circumcision to prevent worry and sleep. angira, ʻapp. go about in search of; avail oneself of; flee to look for (weapons, hidingplace) urgently; ũkaangĩre ciana, go and get food for the children."
161,"(of witch doctor) protect (with magic rites), anganga, diff.","(of witch doctor) protect (with magic rites), anganga, diff","anga?, v.t. (11), (of witch doctor) protect (with magic rites), anganga, diff. angana, rec, angithia, d. caus., angĩka, st. pot. angira, app."
162,"expr. an element of doubt. 1. am I to conclude that?, perhaps, it may be that","am I to conclude that?, perhaps, it may be that","anga, part. (U), expr. an element of doubt. 1. am I to conclude that?, perhaps, it may be that; ~ nĩathĩ?, has he really gone then?; ~ do you by any chance know me? ; ~ nĩ kenda, there appear to be nine. 2. expr. acceptance of a statement with reservations; nĩoka. Anga!, the elder has come. You don’t mean it! nonga (no anga), part. I do not suppose, I suppose we do not; ~ tũggkoenda we do not want misunderstanding between our families, do we? nongana [no anga na], part. what about? I do not know about; w? mwega? Ii, ~ wee, how are you? All right, thank you, but what about you? nongarĩ [no anga rĩ) / ningari [nĩ anga ri], part. is it the case that? (answer ‘no’ expected); ~ ithu tũmwĩrire athĩ?, surely we did not actually tell him to go?, we did not tell him to go, did we?"
164,trophy of war.,trophy of war. [anga],"rĩanga, ma-, n. (111), trophy of war. [anga]"
166,"restless, roving.","restless, roving","-angangi, a. (I1), restless, roving. [anga]"
168,1. name of one of the two ruling generation-sets,name of one of the two ruling generation-sets,"Mwanei, n. cl. 1 only (11), 1. name of one of the two ruling generation-sets; see Ituĩka, Maina. 2. a man’s name."
172,,REFERENCE,"angorũo, see under Kora."
173,"leprous sores, leprosy.","leprous sores, leprosy","maangũ, n. cl. 6 (v), leprous sores, leprosy."
174,small tree (Millettia dura) (wood tough and useful for axe and hoe handles).,small tree (Millettia dura) (wood tough and useful for axe and hoe handles),"mwangwa, mi-, n. (v), small tree (Millettia dura) (wood tough and useful for axe and hoe handles)."
175,"(N.K.) spread by producing shoots or runners, have offshoots","() spread by producing shoots or runners, have offshoots","anja!, v.i. (1), (N.K.) spread by producing shoots or runners, have offshoots; cf. tharama, njanja. anjaanja, dim. anjanga, diff. anjanĩra, app. rec. anjia, caus., anjithia, d. caus. anjira, app."
176,begin,"start a dispute, fight (with)","anja?, v.i. & t. (1), begin; cf. ambiriria. anjana, rec. 1. start a dispute, fight (with). 2. begin with, tackle first. anjania, caus. rec. begin, at the same time, together. anjanira, assoc. begin together. anjia, caus. begin first; w~ kũinũka?, who went home first? anjithia, d. caus. anjika, st. pot. be started. anjĩra, app. begin, for, at."
180,"agenda for meeting, &c.","agenda for meeting, &c","anjenda, ~, n. (1x), agenda for meeting, &c. [E.]"
183,"poss. a. & pron. 2nd pers. pl. 1. your, yours","your, yours","-anyu, p.a. (U), poss. a. & pron. 2nd pers. pl. 1. your, yours; kw~, at your home, in your homeland or district. 2. w~, (used in greetings); w~ (wa) mong’o, salutation between full members of family; w~ wakini, greeting to sb. of your age-group; w~ mama, greeting used by nephew and niece to maternal uncle who replies with the same words; see mama; w~ baba, greeting to paternal uncle; see baba."
184,"poss. a. & pron., their, theirs","atumia ao, their wives","-a0, p.a, (U), poss. a. & pron., their, theirs; with cl. 2 the aconcord is absorbed, atumia ao, their wives; kw~, at their home, at home."
