GLOBAL_INDEX,WORD,NOUN_CLASS,PAGE-COLUMN,FULL_ENTRY,FREQUENCY
3126,ifùku,9i|6,P88-C1,"ifùku, ama-, 9ijé, (cfr -fukur-), taupe: Chlorotalpa. stuhlmanni MAaTSCHIE. || Fig. Bout homme, nain, individu de petite taille, Prov. 230, 1589, 1774.",1
3131,ifúkunya,9|10,P88-C2,"ifúkunya, 9i)10, (cfr -fukuny-), gnome, petit homme, nain. Syn. ifundi, innko. l",1
3138,ifumba,9i|6,P88-C2,"ifumba, ama-, 9i)6, (cfr -fumba 3), cire que lon met sur ja partie supérieure d'une ventouse. i| Fiente d'abeille, || Mèche, brandon fumant, feu conservé dans",1
3161,ifmmdi,9i|6,P89-C1,"ifmmdi, ama-, 90r: et 6, sorte d'oiseau, rougegorge: senegala L. Fig. personne de petite taille. Prov. 649-651, 2060.",1
3181,imfênzofûûnzo,9|10,P89-C2,"imfênzofûûnzo, 9|f0, (cfr -fûnzo 9), marais où poussent des touffes de papyrus. Tiges de papyrus coupé dont on fait les nattes ibigára. -ze, (sw.) faver, lessiver. Syn. kumesūra.",1
3183,imfúra,9|10,P89-C2,"imfúra, 9)19, premier-né, adiné. Syn. ubuzibūra, Imfúra na sé birangana, le fils aîné a autant d'autorité que son père. Prov. 968-969.",1
3207,ifùūru,9i|6,P90-C1,"ifùūru, ama-, 9|ó, (fr.), four, fourneau. Four à briques. Syn. itánuré.",1
3228,ifúrwe,9i|6,P90-C2,"ifúrwe, ama-, 9i!6, (cfr -fúr-), (Poét.), malédiction, expression de haine. Prov. 653.",1
3230,ifúshi,9i|6,P90-C2,"ifúshi, ama-, 9if6, (cfr -fúshuk-), bouc. Syn. isuguru, ihébe. Impėne y'îÎfúshi, un bouc.",1
3265,imfyatange,9|10,P91-C1,"imfyatange, 9li0, (cfr -fyatang-), paresseux, fainéant; (cfr expression argotique en français « qan qui en écrase»). v. -kōko.",1
3412,ngabúrwa,9a|10a,P96-C2,"ngabúrwa, 94li0a, (cfr -gabur-), néol. dividende.",1
3433,urugágamá,11|10,P96-C2,"urugágamá, 11010, (cfr -gagam-), entanti gui a de Væœdème de carence, enfant débile, rachitique. Syn. uruzîngo, urugágará.",1
3449,akagâgazo,12|13,P97-C1,"akagâgazo, utu-, l2113, (cfr -gâgaz-), orgueil Syn. amanyáma. || Désobéissance, Syn. ubvgâmbarazi.",1
