,GLOBAL_INDEX,WORD,AFFIX,NOUN_CLASS,DESCRIPTION,POS,PAGE-COLUMN,FULL_ENTRY,FAILED,WORD_CLEAN,AFFIX_CLEAN,FULL_ENTRY_CLEAN
2804,2804,Ekleziya,9ali0a,9|10,Edifice où se réunissent les fidèles,n.,P79-C1,"Ekleziya, 9ali0a, (lat.), Eglise (société). || Edifice où se réunissent les fidèles, Syn. isengero.",False,Ekleziya,9ali0a,"Ekleziya, 9ali0a, (lat.), Eglise (société). || Edifice où se réunissent les fidèles, Syn. isengero."
2813,2813,iccêmanga,ivy,,témoin,n.,P79-C1,"iccêmanga, ivy, (cfr -êmang-), témoin. Syn. icēma.",False,iccêmanga,ivy,"iccêmanga, ivy, (cfr -êmang-), témoin. Syn. icēma."
2843,2843,icěnda,ivyënda,7|8,"neuf, neuf fots",adj.,P80-C1,"icěnda, ivyënda, 7|8, (numéral), neuf, neuf fots. Inká icěnda, neuf vaches. Arafise abâna icěnda, elle a neuf enfants. Ivyěnda výyîwė, ses chiffres neuf. Mirongw icěnda, guatre-vingt-dix. || Fig. Idiot, ignorant. Syn. ikijûjú.",False,icěnda,ivyënda,"icěnda, ivyënda, 7|8, (numéral), neuf, neuf fots. Inká icěnda, neuf vaches. Arafise abâna icěnda, elle a neuf enfants. Ivyěnda výyîwė, ses chiffres neuf. Mirongw icěnda, guatre-vingt-dix. || Fig. Idiot, ignorant. Syn. ikijûjú."
2865,2865,Abênengwe,gwe,,gwe,v.,P80-C2,"Abênengwe, v. gwe.",False,Abênengwe,gwe,"Abênengwe, v. gwe."
2891,2891,iryëngengwa,aměcngengwa,5|6,dangereux; précieux; à traiter avec prudence,adj.,P81-C2,"iryëngengwa, aměcngengwa, 5|6, (cfr -êngengw-), dangereux; précieux; à traiter avec prudence, || Aměngengwa, cornes de bovidé. Syn. inėgwa.",False,iryëngengwa,aměcngengwa,"iryëngengwa, aměcngengwa, 5|6, (cfr -êngengw-), dangereux; précieux; à traiter avec prudence, || Aměngengwa, cornes de bovidé. Syn. inėgwa."
2911,2911,umwênyuzi,abênyuzi,1|2,"personne éhontée, impudente.",n.,P82-C1,"umwênyuzi, abênyuzi, 1|2, (cfr -ênyuz-), personne éhontée, impudente.",False,umwênyuzi,abênyuzi,"umwênyuzi, abênyuzi, 1|2, (cfr -ênyuz-), personne éhontée, impudente."
2945,2945,kwêrekanwa,nwe,,être en évidence,v.,P83-C1,"kwêrekanwa, nwe, (cfr -êrek-), ëtre mis at jour, être en évidence, être en vue, Syn. guserurwa.",False,kwêrekanwa,nwe,"kwêrekanwa, nwe, (cfr -êrek-), ëtre mis at jour, être en évidence, être en vue, Syn. guserurwa."
2966,2966,nyamwêru,bānyámweru,2,dalbinos.,n.,P83-C2,"nyamwêru, bānyámweru, lal2?a, .(cfr -êru 3), dalbinos. Var. nyamwêro.",False,nyamwêru,bānyámweru,"nyamwêru, bānyámweru, lal2?a, .(cfr -êru 3), dalbinos. Var. nyamwêro."
3001,3001,ēyêgó,(iav.),,"oui, bien sûr",adv.,P84-C2,"ēyêgó, (iav.), oui, bien sûr. Var, ēgó (qv.).",False,ēyêgó,(iav.),"ēyêgó, (iav.), oui, bien sûr. Var, ēgó (qv.)."
3007,3007,icēyēro,ivyeyëro,78,"endroit où lon met les balayures, tas de balayures; fumier",n.,P84-C2,"icēyēro, ivyeyëro, 78, (cfr -eyēr-), endroit où lon met les balayures, tas de balayures; fumier. Syn, ikúbūriro.",False,icēyēro,ivyeyëro,"icēyēro, ivyeyëro, 78, (cfr -eyēr-), endroit où lon met les balayures, tas de balayures; fumier. Syn, ikúbūriro."
3010,3010,urweyo,inzēyo,,feuillage de cette plante sert à orner la maison,n.,P84-C2,"urweyo, inzēyo, Diodia scandens Sw. — Le feuillage de cette plante sert à orner la maison où l'on fête la naissance d'une fille: on suspend devant Fentrée un petit balai. (Si c'est un garçon, on attache au-dessus de legtrée un petit arc et des flèches).",False,urweyo,inzēyo,"urweyo, inzēyo, Diodia scandens Sw. — Le feuillage de cette plante sert à orner la maison où l'on fête la naissance d'une fille: on suspend devant Fentrée un petit balai. (Si c'est un garçon, on attache au-dessus de legtrée un petit arc et des flèches)."
3018,3018,umuhîmbabwêze,imi,3|4,"être plein, rassasié, spatule",n.,P85-C1,"umuhîmbabwêze, imi, 3|4, (-hîimb- être plein, rassasié, -êze 14 quand c'est à point), spatule. Syn. umudáhará, umwuko, injishi, umucumbisho, agahîmbabúbonetse,",False,umuhîmbabwêze,imi,"umuhîmbabwêze, imi, 3|4, (-hîimb- être plein, rassasié, -êze 14 quand c'est à point), spatule. Syn. umudáhará, umwuko, injishi, umucumbisho, agahîmbabúbonetse,"
3026,3026,ukwêzi,amêzi,,"lune, lunaison; mois.",n.,P85-C2,"ukwêzi, amêzi, (cfr -êz-), lune, lunaison; mois. Kwâ kwêzi ngo guheré, à la fin de ce mois-là. Mu kwêzi kwā biherá bityo, quand les poules auront des dents., Kimara amêzi atarí maké, (la période) dure plusieurs mois ÀAbasirikare bărakīsīga ku maguru; abavyêyi bà Ipábabiri na Sêbabiri băvyaye amahâsa bama bágasīga abâna bâbo ukûkwêzi kubonétse ngo ntibáze bagōráne, les soldats s'endduisaient les jambes (d'ocre); les parenis de jumeaux en frottaient toujours leurs enfants à la nouvelte lune pour quwils ne soient pas trop difficiles. || Amêzi, portée d'une femelle, || Kuja mu kwezi, avoir ses règles, ses mensirues. Prov. 419, 948. 85",False,ukwêzi,amêzi,"ukwêzi, amêzi, (cfr -êz-), lune, lunaison; mois. Kwâ kwêzi ngo guheré, à la fin de ce mois-là. Mu kwêzi kwā biherá bityo, quand les poules auront des dents., Kimara amêzi atarí maké, (la période) dure plusieurs mois ÀAbasirikare bărakīsīga ku maguru; abavyêyi bà Ipábabiri na Sêbabiri băvyaye amahâsa bama bágasīga abâna bâbo ukûkwêzi kubonétse ngo ntibáze bagōráne, les soldats s'endduisaient les jambes (d'ocre); les parenis de jumeaux en frottaient toujours leurs enfants à la nouvelte lune pour quwils ne soient pas trop difficiles. || Amêzi, portée d'une femelle, || Kuja mu kwezi, avoir ses règles, ses mensirues. Prov. 419, 948. 85"
3028,3028,gufádikanya,nije,,s'entraider,v.,P86-C1,"gufádikanya, nije, (cfr -fáât-), s'entraider. Syn. gufáshanya.",False,gufádikanya,nije,"gufádikanya, nije, (cfr -fáât-), s'entraider. Syn. gufáshanya."
3097,3097,ifomo,ama,9,"enfant courtaud, enfant gui ne grandit pas.",n.,P87-C2,"ifomo, ama, 9illóé, (cfr -fomor-), enfant courtaud, enfant gui ne grandit pas.",False,ifomo,ama,"ifomo, ama, 9illóé, (cfr -fomor-), enfant courtaud, enfant gui ne grandit pas."
3106,3106,igifotozo,ibi,718,"appareil photographique, caméra",n.,P88-C1,"igifotozo, ibi, 718, (cfr -fotor-), appareil photographique, caméra.",False,igifotozo,ibi,"igifotozo, ibi, 718, (cfr -fotor-), appareil photographique, caméra."
3117,3117,urufufu,1i,1,fécule,n.,P88-C1,"urufufu, 1i, (cfr -fu 9i), fécule.",False,urufufu,1i,"urufufu, 1i, (cfr -fu 9i), fécule."
3125,3125,umufúko,imi,,"sac, poche",n.,P88-C1,"umufúko, imi, (sw.), sac, poche. Syn. igunira, indaha. Kugira umufúko, avoir de largent. Kugira umufúko utobótse, d'argent,",False,umufúko,imi,"umufúko, imi, (sw.), sac, poche. Syn. igunira, indaha. Kugira umufúko, avoir de largent. Kugira umufúko utobótse, d'argent,"
3127,3127,Rufùku,la,,grosse taupe,n.,P88-C1,"Rufùku, la, (préf. patr. 1), (cfr -fùku 9i), (grosse taupe), surnom de Ntare I, un des rois du Burundi, përe du rot Mwezi I (Biti); ce surnom luj a été donné à caŭse de sa petite taille. Après, il fut surnommé Ntare (Lion) pour son courage; on raconte que dans sa jeunesse il avait capturé un lionceau et FPavait gardé chez lui. Son vrai nom était Nkundwa.",False,Rufùku,la,"Rufùku, la, (préf. patr. 1), (cfr -fùku 9i), (grosse taupe), surnom de Ntare I, un des rois du Burundi, përe du rot Mwezi I (Biti); ce surnom luj a été donné à caŭse de sa petite taille. Après, il fut surnommé Ntare (Lion) pour son courage; on raconte que dans sa jeunesse il avait capturé un lionceau et FPavait gardé chez lui. Son vrai nom était Nkundwa."
3137,3137,umufumba,imi,344,résine,n.,P88-C2,"umufumba, imi, 344, (cfr -fumb-), propolis, résine dont les abeilles tapissent lVintérieur de la ruche pour en boucher les fentes.",False,umufumba,imi,"umufumba, imi, 344, (cfr -fumb-), propolis, résine dont les abeilles tapissent lVintérieur de la ruche pour en boucher les fentes."
3141,3141,igifùmbafûmba,ibi,7|8,Remède contre les crises de folie,n.,P88-C2,"igifùmbafûmba, ibi, 7|8, (cfr -fumb-), Rumex abyssinicus Jaco, R. maderensis Lowe. — Remède contre les crises de folie.",False,igifùmbafûmba,ibi,"igifùmbafûmba, ibi, 7|8, (cfr -fumb-), Rumex abyssinicus Jaco, R. maderensis Lowe. — Remède contre les crises de folie."
