GLOBAL_INDEX,NOUN_CLASS,NC_REGEX,FULL_ENTRY,PAGE-COLUMN,POS
8040,5|6,5l6 ou (sw.),"ikinga, ama-, 5l6 ou (sw.), bicyclette, vélo. Syn. igări. bukïnga, 14a, (cfr -kinga 5), sans augment, sans complément, comme un vélo. Mu kwatsa agapikipiki banyonga bukinga, pour mettre en marche un vélo-moteur, on pédale comme sur un vélo.",P226-C1,n.
8362,6,6,"amatāhànkoni, 6, (-tāh- rentrer, -koni 9 bâton), récompense donnée au vacher quand il ramène les vaches à la maison après la transhumance igisha.",P236-C1,n.
8524,7|8,7(8,"igikōto, ibi-, 7(8, (cfr -kôtor-), grosse fourmi noire. 910, (cfr -kōt-), cynocéphale. Umwâna wanje agenda imanga, (énigme), mon enfant marche au bord dun précipice, inkōto, le cynocéphale.",P240-C2,n.
8556,3,3,"umuhánurànkúba, 3, (-hanur- enlever, -kùba 9 foudre), arbre foudroyé qui reverdit. Navúguse umùûti wumuhánurànkúba ntákozėko ibikúmu, J'ai froissé les feuilles de cette plante pour en préparer un remède en veillant à ne pas le toucher de mes pouces. Cette préparation devait faciliter expulsion du placenta. RODEGEM, AfricaTervuren, XVI-1968-2.",P241-C2,n.
8557,7|8,718,"ikirârànkúba, ibi-, 718, (-râr- laisser en repos, -kúba 9 foudre), arbre foudroyé. RODEGEM, ÀfricaTervuren, XVI-1968-2.",P241-C2,n.
8620,,1687,"gukúga, -ze, aboyer. Prov. 907, 1687.",P243-C1,v.
8667,3|4,14),"umukŭmbagaza, imin 3l4, (cfr -kûmbagare 9, 14), savane.",P245-C1,n.
8746,3|4,314,"umukûngugu, imi-, 314, (cfr -kûngūt-), poudre, poussier. 9l10, (cfr -kûngugu 3), poussière. Gutūumūra inkûngugu, soulever la poussière.",P247-C2,n.
8776,1a,1a,"ntôrerànkûnzi, 1a, (-tôrer- choisir en faveur de, -kûnzi 9 ami), qui choisit seulement pour celui gwil aime; partial.",P248-C1,partial
8825,1a|2a,3493. V. parenté,"sēkúru, bāsêkúru, lal2a, (sé son père, -kúru grand), son grand-père. Ancêtre. Rurenge rwā Ntáre níwe sēkúru w'Abahbēka, R. fils de N. est lancêtre des Tutsi du lignage des Heka. Arahéba igihúgu cā bāsé na sêkúru, íl quitta le pays de ses pères. Prov. 2397, 3493. V. parenté, p.",P250-C1,n.
8832,6,6,"amakávyàènkûru, 6, (-kávy- exagérer, -kûru 9l récit), récit exagéré, gasconnade.",P250-C1,n.
8858,1a,620,"mukúrwanje, la (cfr -kûru 1), mon frère aîné. Var. mukúru-wanje. Cfr parenté, p. 619, 620.",P251-C1,n.
9085,7|8,718,"igitóboramâna, ibi-, 718, (-tóbor- trouer, -mâna 9 chance), galet naturellement percé dun trou et utilisé comme amulette protectrice. Par ext. tout objet percé: plaquette métallique, pièce de monnaie trouée servant de protection magique contre les verminoses. RODEGEM, ÀfricaTervuren, XVI-1968-2.",P258-C1,n.
9086,14,14,"ubuyóbokamâna, 14, (-yobok- être docile, -mâna 9 Dieu), néol., fidélité au service de Dieu.",P258-C1,n.
9087,15,15,"ukuyobokeramâna, 15, (-yoboker- être soumis à, -mâna 9 Dieu), néol., religion.",P258-C1,n.
9139,3|4,14,"umumanuko, imi- 34, (cfr -manuk-), descente, pente., Syn. umushunguruko. - ubumanuko, 14, (cfr -manuk-), le sud.",P259-C1,n.
