GLOBAL_INDEX,WORD,NOUN_CLASS_CLEAN,PAGE-COLUMN,FREQUENCY
968,akabázo,12jfi3,P29-C2,1
13,inyawïyabira,9lal2a,P1-C1,1
72,ukwâha,15|6,P3-C1,1
78,urwaha,1l,P3-C1,1
246,urwâmo,11190,P9-C1,1
269,bāmwâna,24,P10-C1,1
277,akâna,1243,P10-C1,1
283,urwânāgá,11ll|10,P10-C2,1
289,inyánăna,9j19,P10-C2,1
370,akāabwâníke,FBU,P12-C2,1
386,urwânkàmpězu,v,P13-C1,1
408,umwânuko,"3(l, (cfr -ânuk-))",P14-C1,1
418,umwănya,3ij4,P14-C2,1
510,akâshi,12|135,P16-C2,1
533,urwââto,11(10,P17-C1,1
541,akătsi,12|l3,P17-C2,1
628,umubága,3)44,P20-C2,1
631,kubâga,ze,P20-C2,1
671,ibákulí,5|é6,P21-C2,1
808,umubânyi,9jl0,P25-C1,1
811,urubănza,114)10,P25-C2,1
829,imbárabára,9j,P26-C2,1
830,ibarăfu,9ijli,P26-C2,1
834,imbarágasa,9l)l0,P26-C2,1
870,urubáriro,11|f0,P27-C2,1
914,ibáiisímu,9j)0,P28-C1,1
922,imbáturo,9jt0,P28-C2,1
967,imbāzo,9lji0,P29-C2,1
2644,kudūma,107,P74-C2,1
2670,idûndu,5!6,P75-C1,1
2730,akêbo,12|i3,P77-C1,1
2820,umwembe,3t4,P79-C2,1
4215,igma,5j,P119-C1,1
4233,urugombeko,11|20,P119-C2,1
4237,bigombo,9lalla (préf. 8),P119-C2,1
4285,igonânwe,5jó,P120-C2,1
4494,urugúha,11J10|9l10,P127-C2,1
4675,gushika,131,P131-C2,1
4730,umukururàngwes,3KUJSL4KU,P133-C1,1
4998,ihănga,55,P142-C1,1
5153,akăruhariwe,12RUJI3RU,P146-C1,1
5238,igihe,"7(8, moment, temps, instant",P148-C2,1
5289,nyamihēëhe,9ali0,P149-C2,1
5329,Rwamahéke,11MA,P150-C2,1
5366,sâruhëmbe,9alla,P152-C1,1
5464,Nyamíhène,9a|ia,P154-C1,1
5466,igisómàmpėne,"7|8, 9",P154-C1,1
5496,guhenyeka,pop.,P155-C1,1
5670,ikimpigínya,7N,P160-C1,1
5820,uruhinja,11119,P164-C1,1
5827,akāmuhinya,12MU,P164-C1,1
5897,mpishi,9a|lg0a,P165-C2,1
5992,umuhōho,arc,P168-C1,1
6007,ubuhoma,1410,P168-C2,1
6103,igihôngwahôngwa,7J8,P171-C1,1
6480,amahğre,7|9|14,P181-C1,1
6501,igihurūduka,710,P181-C2,1
6559,urumpuzenge,11N,P183-C2,1
6646,impwěrwa,9j1i0,P186-C1,1
4120,kugishisha,1|Fam,P116-C2,1
4119,kugīshanya,116,P116-C1,1
4097,magirírane,6q,P115-C2,1
3412,ngabúrwa,94li0a,P96-C2,1
2841,umwěnda,rw.,P80-C1,1
3115,mafubo,tal2a,P88-C1,1
3126,ifùku,9ijé,P88-C1,1
3131,ifúkunya,9i)10,P88-C2,1
3138,ifumba,9i)6,P88-C2,1
3161,ifmmdi,90r: et 6,P89-C1,1
3181,imfênzofûûnzo,9|f0,P89-C2,1
3183,imfúra,9)19,P89-C2,1
3207,ifùūru,9|ó,P90-C1,1
3228,ifúrwe,9i!6,P90-C2,1
3230,ifúshi,9if6,P90-C2,1
3265,imfyatange,9li0,P91-C1,1
3433,urugágamá,11010,P96-C2,1
4019,ngezaho,9a|1a,P113-C2,1
3449,akagâgazo,l2113,P97-C1,1
3550,urugănda,1lj10,P99-C2,1
3584,kugângāra,j,P100-C2,1
3630,kugánwakaraa,ctr -gâánwa 1,P102-C1,1
3711,ingaruka,9f6,P104-C1,1
3901,umugenza,3lll4,P109-C2,1
3909,mugenzabo,laæl2a,P110-C1,1
3921,urutangirabagenzi,14110,P110-C1,1
3929,ikinyamugera,"7(8, (cfe -gera 3)",P110-C2,1
3942,umugeragezo,3M4,P111-C1,1
3955,bugerésere,Ia,P111-C2,1
3971,urugerero,9010,P112-C1,1
19305,izosi,56|col|cou,P585-C1,1
